key,oid_freebase,oid_name,objects365_name,coco_name
Organ__,/m/013y1f,Organ,,
Cocktail__,/m/024g6,Cocktail,,
Plastic bag__,/m/05gqfk,Plastic bag,,
Mushroom__,/m/052sf,Mushroom,,
Light switch__,/m/03jbxj,Light switch,,
Parachute__,/m/0cyfs,Parachute,,
Winter melon__,/m/02cvgx,Winter melon,,
Plumbing fixture__,/m/02pkr5,Plumbing fixture,,
Scoreboard__,/m/057p5t,Scoreboard,,
Envelope__,/m/0frqm,Envelope,,
Bow and arrow__,/m/01g3x7,Bow and arrow,,
Telephone__,/m/07cx4,Telephone,,
Jacket__,/m/032b3c,Jacket,,
Boy__,/m/01bl7v,Boy,,
Otter__,/m/0cn6p,Otter,,
Office supplies__,/m/02rdsp,Office supplies,,
Couch__,/m/02crq1,Couch,,
Bull__,/m/0cnyhnx,Bull,,
Whale__,/m/084zz,Whale,,
Shirt__,/m/01n4qj,Shirt,,
Tank__,/m/07cmd,Tank,,
Accordion__,/m/0mkg,Accordion,,
Owl__,/m/09d5_,Owl,,
Porcupine__,/m/0c568,Porcupine,,
Sun hat__,/m/02wbtzl,Sun hat,,
Nail__,/m/05bm6,Nail,,
Lamp__,/m/0dtln,Lamp,,
Crown__,/m/0nl46,Crown,,
Piano__,/m/05r5c,Piano,,
Sculpture__,/m/06msq,Sculpture,,
Cheetah__,/m/0cd4d,Cheetah,,
Oboe__,/m/05kms,Oboe,,
Tin can__,/m/02jnhm,Tin can,,
Mango__,/m/0fldg,Mango,,
Tripod__,/m/073bxn,Tripod,,
Oven__,/m/029bxz,Oven,,
Coffee__,/m/02vqfm,Coffee,,
Common fig__,/m/043nyj,Common fig,,
Salad__,/m/0grw1,Salad,,
Marine invertebrates__,/m/03hl4l9,Marine invertebrates,,
Kangaroo__,/m/04c0y,Kangaroo,,
Human arm__,/m/0dzf4,Human arm,,
Measuring cup__,/m/07v9_z,Measuring cup,,
Snail__,/m/0f9_l,Snail,,
Suit__,/m/01xyhv,Suit,,
Teapot__,/m/01fh4r,Teapot,,
Bottle__,/m/04dr76w,Bottle,,
Trousers__,/m/07mhn,Trousers,,
Popcorn__,/m/01hrv5,Popcorn,,
Centipede__,/m/019h78,Centipede,,
Spider__,/m/09kmb,Spider,,
Sparrow__,/m/0h23m,Sparrow,,
Plate__,/m/050gv4,Plate,,
Bagel__,/m/01fb_0,Bagel,,
Personal care__,/m/02w3_ws,Personal care,,
Brassiere__,/m/01gmv2,Brassiere,,
Bathroom cabinet__,/m/04y4h8h,Bathroom cabinet,,
studio couch__,/m/026qbn5,studio couch,,
Cabinetry__,/m/01s105,Cabinetry,,
Towel__,/m/0162_1,Towel,,
Nightstand__,/m/02z51p,Nightstand,,
Jug__,/m/08hvt4,Jug,,
Wok__,/m/084rd,Wok,,
Human eye__,/m/014sv8,Human eye,,
Skyscraper__,/m/079cl,Skyscraper,,
Potato__,/m/05vtc,Potato,,
Paper towel__,/m/02w3r3,Paper towel,,
Lifejacket__,/m/054xkw,Lifejacket,,
Bicycle wheel__,/m/01bqk0,Bicycle wheel,,
Toilet__,/m/09g1w,Toilet,,
